"","Estimate"
"335",15746.8039041986
"336",16681.029838152
"337",21292.6117635594
"338",91688.0910957921
"339",8031.98515178943
"340",20963.3686167537
"341",22940.6653384935
"342",20478.6637339786
"343",15920.4052608326
"344",29094.6704501189
"345",50237.967121038
"346",24819.4343332763
"347",9313.02755232761
"348",4580.71823936411
"349",20766.049586234
"350",29794.3219783498
"351",13275.4649226292
"352",149872.494005357
"353",11298.7347546937
"354",64178.4530822843
"355",22650.0789867375
"356",30007.6463529585
"357",26658.6675435689
"358",24531.0019706962
"359",70507.1524898479
"360",20233.7426558674
"361",8585.5777184713
"362",55567.8816472874
"363",19639.85223161
"364",27492.755344983
"365",25793.4788528561
"366",27453.4303387582
"367",9914.17743043508
"368",141583.626318582
"369",11344.4340798499
"370",23327.9449175243
"371",33194.8286236222
"372",31116.667645922
"373",17367.8576776612
"374",14746.3063497065
"375",13131.8596548877
"376",17704.2539523887
"377",24687.7201140463
"378",7150.69871864277
"379",14884.1142566797
"380",8978.15008599629
"381",10546.2780401961
"382",24483.7916178475
"383",23525.1178560378
"384",26361.6691571248
"385",25916.5026830119
"386",21707.9732777025
"387",6520.63559435355
"388",51429.607466152
"389",19730.1520010238
"390",32355.3049687674
"391",38895.4291797242
"392",36243.3469019469
"393",17926.1681509553
"394",25443.60371749
"395",25803.407044143
"396",20740.7114081377
"397",63449.1560607822
"398",10257.2009225864
"399",38829.3328062856
"400",33898.4651253757
"401",20365.3061791608
"402",54051.2940029591
"403",58961.2885759752
"404",11913.3380613709
"405",38925.3339698424
"406",31427.0232298253
"407",20500.1898575677
"408",81543.8294757094
"409",38786.3546226174
"410",52828.309746483
"411",38543.6727346295
"412",17460.1991615245
"413",9548.34245012989
"414",16009.7821567011
"415",26903.9175878768
"416",36356.7635371671
"417",13145.3498800489
"418",9116.18966250823
"419",20677.038502695
"420",38042.4349163228
"421",36135.3772684912
"422",92523.7990482849
"423",24888.4800707203
"424",30963.8665007173
"425",43037.7784561444
"426",22546.1889883901
"427",19550.1044247822
"428",25215.3394342144
"429",8996.31984236234
"430",67338.8264867676
"431",8943.36827315126
"432",28164.1210781371
"433",38418.9869310875
"434",32696.9002797513
"435",75585.5828868296
"436",44632.2088295686
"437",24128.2022590522
"438",43357.4069352351
"439",6508.08092460687
"440",12566.9369799798
"441",13487.08039405
"442",13287.2682599127
